OTU_id,lineage,kingdom,genus,species
748748,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|02|Protoperidiniaceae|Protoperidinium_02|elegans,Eukaryota,Protoperidinium,NA
193121,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Metridia|*,Eukaryota,Metridia,NA
108331,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collosphaera|Collosphaera+globularis-huxleyi,Eukaryota,Collosphaera,globularis-huxleyi
141922,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Sphaerozoum|Sphaerozoum+punctatum,Eukaryota,Sphaerozoum,punctatum
789673,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|16|Gonyaulacaceae|Gonyaulax_04|sp.,Eukaryota,Gonyaulax,NA
794474,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,Eukaryota,Blastodinium,NA
12560,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Sphaerozoum|Sphaerozoum+punctatum,Eukaryota,Sphaerozoum,punctatum
120939,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+inerme,Eukaryota,Collozoum,inerme
811163,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Cyclopoida|Corycaeus|Corycaeus+speciosus,Eukaryota,Corycaeus,speciosus
115530,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|16|Gonyaulacaceae|Gonyaulax_04|sp.,Eukaryota,Gonyaulax,NA
884779,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gymnodiniales|59|Gymnodiniaceae|Cochlodinium_02|polykrikoides,Eukaryota,Cochlodinium,NA
898076,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Sphaerozoum|Sphaerozoum+punctatum,Eukaryota,Sphaerozoum,punctatum
901388,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|02|Protoperidiniaceae|Protoperidinium_02|divergens,Eukaryota,Protoperidinium,NA
903939,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|09|Ostreopsidaceae|Ostreopsis|sp.,Eukaryota,Ostreopsis,NA
227673,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Sphaerozoum|Sphaerozoum+punctatum,Eukaryota,Sphaerozoum,punctatum
85708,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|53|Peridiniaceae|Tintinnophagus|acutus,Eukaryota,Tintinnophagus,NA
962466,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Chaetoceros|Chaetoceros+rostratus,Eukaryota,Chaetoceros,rostratus
94919,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|16|Peridiniaceae|Scrippsiella_02|sp.,Eukaryota,Scrippsiella,NA
124352,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|31|Peridiniaceae|Scrippsiella_07|sp.,Eukaryota,Scrippsiella,NA
985222,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Euchaeta,Eukaryota,Euchaeta,NA
994870,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Noctilucales|04|Noctilucaceae|Noctiluca|scintillans,Eukaryota,Noctiluca,NA
997353,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Chaetoceros|Chaetoceros+sp.,Eukaryota,Chaetoceros,sp.
71267,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+amoeboides,Eukaryota,Collozoum,amoeboides
109823,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gymnodiniales|51|Gymnodiniaceae|Akashiwo_01|sanguinea,Eukaryota,Akashiwo,NA
136906,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Cyclopoida|Oithona|Oithona+sp.,Eukaryota,Oithona,sp.
1053744,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collosphaera|Collosphaera+globularis-huxleyi,Eukaryota,Collosphaera,globularis-huxleyi
